"","c","muslims","muslim_women","minarets","leg","region","agg_muslim_diff","agg_muslim","agg_kath","can_add_ini","urban2010","urban","gender","mus","head","min"
"1","AG",3.82456140350877,2.36842105263158,2.21052631578947,13,1,2.58,5.78,35.44,-0.0965059875,65.8,0.56140350877193,0.491228070175439,0.175438596491228,0.631578947368421,0.649122807017544
"2","AI",3.8,2.53333333333333,1.93333333333333,14,1,2.08,4.57,73.71,-0.5402571375,0,0,0.5,0.2,0.533333333333333,0.766666666666667
"3","AR",3.54545454545455,2.51515151515152,2.15151515151515,9,1,0.75,2.91,30.68,0.1802158375,52.9,0.606060606060606,0.454545454545455,0.181818181818182,0.575757575757576,0.666666666666667
"4","BE",3.65254237288136,2.58474576271186,2.32203389830508,13,1,1.98,3.33,15.97,0.153724200635593,62.6,0.661016949152542,0.508474576271186,0.23728813559322,0.550847457627119,0.652542372881356
"5","BL",3.68571428571429,2.8,2.48571428571429,11,1,1.43,4.23,28.54,-0.1108597875,91.8,0.885714285714286,0.457142857142857,0.228571428571429,0.485714285714286,0.571428571428571
"6","BS",3.08695652173913,3.32608695652174,2.89130434782609,10,1,4.04,8,19.7,0.2125877,100,1,0.521739130434783,0.369565217391304,0.282608695652174,0.434782608695652
"7","FR",3,2.48484848484848,2.81818181818182,10,0.242424242424242,1.75,3.23,64.01,0.246781725,55.8,0.636363636363636,0.484848484848485,0.333333333333333,0.606060606060606,0.454545454545455
"8","GE",2.62068965517241,2.94827586206897,3.10344827586207,8,0,2.89,5.05,36.56,0.6031156375,99.2,1,0.5,0.46551724137931,0.431034482758621,0.379310344827586
"9","GL",3.51612903225806,2.61290322580645,2.25806451612903,12,1,1.71,6,36.5,-0.2605148375,0,0,0.290322580645161,0.258064516129032,0.516129032258065,0.645161290322581
"10","GR",3.25641025641026,2.71794871794872,2.38461538461538,9,0.897435897435897,0.44,1.63,44,-0.300955125,49.8,0.615384615384615,0.717948717948718,0.358974358974359,0.461538461538462,0.58974358974359
"11","JU",3.32432432432432,2.18918918918919,2.21621621621622,10,0,1.47,2.31,68.83,0.7632554125,30.5,0.216216216216216,0.432432432432432,0.297297297297297,0.648648648648649,0.621621621621622
"12","LU",3.51428571428571,2.31428571428571,2.31428571428571,8,1,1.86,3.74,65.18,-0.0422843625,50.9,0.457142857142857,0.6,0.285714285714286,0.628571428571429,0.628571428571429
"13","NE",3.02941176470588,2.52941176470588,2.55882352941176,11,0,2.4,3.44,24.6,0.7289976625,74.6,0.764705882352941,0.588235294117647,0.382352941176471,0.558823529411765,0.529411764705882
"14","NW",3.91304347826087,1.69565217391304,1.8695652173913,12,1,0.91,2.2,68.64,-0.3379989,87.7,0.826086956521739,0.347826086956522,0.0869565217391304,0.782608695652174,0.739130434782609
"15","OW",4.08,2.08,1.92,14,1,1.24,2.97,74.32,-0.3851433,0,0,0.44,0.12,0.68,0.76
"16","SG",3.97560975609756,2.34146341463415,1.85365853658537,9,1,3.28,6.37,47.17,-0.0712832625,66.9,0.536585365853659,0.317073170731707,0.121951219512195,0.658536585365854,0.804878048780488
"17","SH",3.59375,2.84375,2.4375,10,1,3.71,6.46,22.8,0.13266285234375,75.8,0.53125,0.3125,0.21875,0.5,0.625
"18","SO",3.52631578947368,3.02631578947368,2.78947368421053,10,1,3.43,6.56,37.57,0.109613425,77.3,0.789473684210526,0.447368421052632,0.263157894736842,0.473684210526316,0.5
"19","SZ",4,1.96428571428571,1.92857142857143,10,1,1.29,3.72,65.78,-0.5033874625,80.2,0.785714285714286,0.321428571428571,0.0714285714285714,0.785714285714286,0.75
"20","TG",3.51428571428571,2.8,2.54285714285714,10,1,1.83,5.76,32.57,-0.2531155125,49.8,0.485714285714286,0.485714285714286,0.228571428571429,0.485714285714286,0.6
"21","TI",2.6,2.12,2.6,9,0,0.86,1.76,68.8,0.10103435,87.8,0.92,0.52,0.52,0.72,0.52
"22","UR",3.63333333333333,2.6,2.13333333333333,11,1,0.28,1.91,81.51,-0.4984452,0,0,0.5,0.166666666666667,0.5,0.733333333333333
"23","VD",3.02985074626866,2.61194029850746,2.55223880597015,11,0,2.66,4.32,30.94,0.353384975,74.7,0.686567164179104,0.432835820895522,0.388059701492537,0.522388059701492,0.522388059701492
"24","VS",3.225,2.475,2.425,9,0.225,0.96,2.12,75.41,-0.033731425,56.8,0.775,0.525,0.25,0.525,0.575
"25","ZG",3.39583333333333,2.64583333333333,2.47916666666667,9,1,1.46,4.36,53.44,-0.1656088375,96.1,0.979166666666667,0.375,0.270833333333333,0.520833333333333,0.604166666666667
"26","ZH",3.28125,2.85,2.8,10,1,3.11,5.71,27.96,0.0117668,95.1,0.9625,0.475,0.29375,0.5,0.49375
